,Full_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,cluster
0,Aaron Michlewitz,204,40,416,93,185,97,321,142,200,30,275,51,197,19,242,207,1
1,Aaron Vega,91,74,18,77,16,27,190,197,30,25,13,50,19,8,98,124,2
2,Adrian Madaro,302,24,154,552,370,14,247,64,304,58,261,157,260,18,265,165,1
3,Alan Silvia,44,61,76,3,25,48,88,17,90,44,11,64,84,61,46,39,0
4,Alice Hanlon Peisch,0,0,130,4,2,3,3,8,20,2,30,3,6,11,26,3,0
5,Alyson M. Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,67,93,114,0,0
6,Andres X. Vargas,0,0,0,0,0,0,0,0,180,275,72,0,43,44,78,19,0
7,Angelo J. Puppolo Jr.,82,34,89,2,92,28,106,6,92,5,147,4,103,52,125,25,2
8,Angelo L. D'Emilia,55,29,0,1,15,54,2,5,4,7,25,2,7,27,34,2,0
9,Angelo M. Scaccia,50,1,160,7,42,16,151,5,48,2,126,9,4,34,145,7,2
10,Ann-Margaret Ferrante,0,0,0,0,0,140,68,15,49,112,43,1,117,72,6,9,0
11,Antonio F. D. Cabral,5,2,126,12,2,1,130,2,1,4,109,18,103,18,129,12,2
12,Bradford R. Hill,154,4,1,2,0,4,27,202,94,1,1,1,32,144,190,45,2
13,Bradley H. Jones Jr.,89,26,179,13,8,19,178,15,20,10,154,13,10,12,161,16,2
14,Brian M. Ashe,5,36,1,3,45,0,1,0,35,0,1,2,70,36,97,4,0
15,Brian W. Murray,0,0,0,0,36,0,0,0,129,0,0,1,14,4,97,9,0
16,Bruce J. Ayers,91,80,6,9,73,88,2,8,104,50,3,7,44,70,6,6,0
17,Bud L. Williams,33,9,15,42,23,29,27,0,45,22,37,0,59,5,91,3,0
18,Byron Rushing,1,0,1,1,0,0,2,1,1,0,2,1,36,153,73,3,0
19,Carlos Gonzalez,7,0,1,14,3,0,35,0,0,2,0,41,0,38,24,2,0
20,Carmine Gentile,0,0,0,0,0,0,0,0,2,0,21,2,0,8,41,2,0
21,Carole Fiola,131,56,2,108,17,146,19,1,2,70,13,147,21,85,63,150,0
22,Carolyn Coyne Dykema,85,3,7,2,5,6,73,31,32,2,18,20,5,32,1,17,0
23,Chris Walsh,50,2,21,0,2,3,13,26,1,0,14,0,0,0,3,12,0
24,Christina A. Minicucci,0,0,0,0,0,0,0,0,0,0,0,0,138,113,133,0,0
25,Christine P. Barber,41,4,34,2,22,8,121,2,65,3,123,2,6,6,131,1,2
26,Christopher Hendricks,0,0,0,0,0,0,0,0,90,1,0,0,3,18,88,17,0
27,Christopher M. Markey,97,94,0,0,2,0,0,9,9,0,0,1,84,0,0,2,0
28,Chynah Tyler,0,0,0,0,17,86,64,2,12,4,6,47,1,6,0,0,0
29,Claire Cronin,0,0,0,0,0,0,0,0,61,16,170,0,176,17,114,1,0
30,Colleen M. Garry,80,0,5,3,3,1,3,3,58,2,1,37,21,66,126,9,0
31,Cory Atkins,1,2,9,50,114,26,100,1,0,10,85,2,1,0,0,0,0
32,Dan Cullinane,117,4,119,17,5,93,142,4,89,0,133,8,0,167,72,61,2
33,Daniel F. Cahill,87,3,2,92,112,1,63,137,94,2,3,2,88,28,3,2,0
34,Daniel J. Hunt,61,10,213,3,99,6,124,13,87,70,78,3,17,91,16,4,2
35,Daniel Joseph Ryan,94,21,89,32,67,31,86,47,72,51,79,32,97,66,108,23,2
36,Daniel M. Donahue,105,1,22,0,156,111,27,42,41,0,50,1,8,1,6,18,0
37,Daniel R. Carey,0,0,0,0,0,0,0,0,0,0,0,0,14,72,139,34,0
38,Danielle W. Gregoire,32,2,29,0,54,37,64,2,6,2,42,0,45,6,106,3,0
39,David A. Robertson,0,0,0,0,0,0,0,0,0,0,0,0,83,85,4,0,0
40,David F. DeCoste,0,0,0,0,0,0,0,0,33,2,14,6,25,37,38,1,0
41,David Henry Argosky LeBoeuf,0,0,0,0,0,0,0,0,104,0,0,0,118,80,103,21,0
42,"David Kent Muradian, Jr.",88,79,135,2,62,8,109,187,163,4,75,3,130,89,1,1,2
43,David M. Biele,0,0,0,0,0,0,0,0,0,0,0,0,75,199,103,0,0
44,David M. Nangle,80,233,27,2,14,84,93,5,82,53,86,6,75,7,195,3,2
45,David M. Rogers,103,1,4,4,40,0,0,2,6,1,33,2,1,3,43,6,0
46,David P. Linsky,8,0,17,0,1,0,1,5,1,1,0,1,1,1,3,1,0
47,David T. Vieira,82,1,33,0,117,121,163,53,43,86,1,0,79,4,2,1,0
48,Denise Garlick,79,62,153,2,9,42,30,172,178,21,77,4,17,95,119,303,2
49,Denise Provost,2,0,2,1,9,9,64,0,1,3,14,1,1,3,48,0,0
50,Donald H. Wong,56,0,0,0,106,21,7,63,10,0,2,46,6,81,8,73,0
51,"Donald R. Berthiaume, Jr.",37,0,0,0,0,0,0,39,24,0,0,0,62,7,1,0,0
52,Dylan Fernandes,0,0,0,0,59,174,78,21,57,6,39,3,13,19,57,20,0
53,Edward F. Coppinger,197,52,3,74,152,1,163,76,31,3,118,76,17,7,232,35,2
54,Elizabeth A. Malia,43,2,42,0,6,28,48,31,43,2,6,35,22,75,89,44,0
55,Elizabeth A. Poirier,2,9,111,2,78,110,117,2,100,0,3,0,1,3,2,5,0
56,Elizabeth Miranda,0,0,0,0,0,0,0,0,0,0,0,0,109,347,341,1,2
57,Evandro C. Carvalho,41,0,88,0,44,32,44,37,42,5,12,17,0,144,162,124,2
58,Frank Moran,6,5,39,3,31,8,14,55,3,6,0,1,4,6,39,5,0
59,Fred J. Barrows,41,23,1,3,54,30,80,21,0,0,1,0,1,0,1,4,0
60,Geoff Diehl,424,604,108,187,20,115,59,73,5,24,81,158,0,0,0,5,1
61,Gerard J. Cassidy,137,0,0,0,7,42,80,112,130,2,38,7,170,1,43,7,2
62,Hannah Kane,142,6,17,465,119,2,13,169,100,2,168,7,102,3,22,158,1
63,Harold P. Naughton Jr.,76,8,152,108,91,60,152,87,115,14,62,79,132,6,179,7,2
64,Jack Patrick Lewis,3,0,0,0,62,49,29,10,102,4,80,37,52,6,94,33,0
65,James Dwyer,18,0,13,2,3,14,102,17,1,6,58,0,2,0,0,1,0
66,James J. O'Day,33,3,58,14,48,5,44,25,71,4,55,6,6,32,38,18,0
67,James K. Hawkins,0,0,0,0,0,0,0,0,8,0,0,0,41,78,20,87,0
68,James M. Kelcourse,141,27,41,15,79,77,129,53,144,15,142,37,86,99,132,62,2
69,James Murphy,6,32,3,59,0,0,4,72,92,0,10,56,1,5,46,2,0
70,Jay Livingstone,226,4,64,4,66,11,61,272,68,0,6,1,19,60,29,8,2
71,Jeffrey N. Roy,3,6,102,0,8,74,83,0,4,6,36,3,53,57,170,105,2
72,Jennifer Benson,42,39,104,2,23,4,100,3,56,19,82,7,9,2,127,19,2
73,Jerald A. Parisella,6,92,31,0,151,10,52,118,2,21,116,1,99,12,22,131,2
74,Jim Arciero,103,6,117,36,66,19,74,58,86,18,70,46,103,60,68,0,2
75,Joan Meschino,44,0,0,0,243,122,234,162,77,66,72,2,140,138,70,38,2
76,"John Barrett, III",53,42,0,0,0,0,0,2,89,41,0,0,6,26,0,8,0
77,John Christopher Velis,181,0,26,60,148,43,129,7,113,1,2,0,7,6,89,13,2
78,John H. Rogers,95,1,0,0,56,21,84,14,8,8,36,4,15,17,58,1,0
79,John J. Mahoney,72,0,100,68,55,10,180,2,72,4,42,127,52,2,156,10,2
80,John Lawn,30,45,15,83,1,7,64,5,11,6,70,2,52,3,61,1,0
81,Jon Santiago,0,0,0,0,0,0,0,0,0,0,0,0,38,132,93,6,0
82,Jonathan David Zlotnik,15,77,12,0,95,2,4,94,115,16,0,1,65,58,14,2,0
83,Jose F. Tosado,50,11,76,38,47,8,67,34,85,0,2,53,0,18,60,3,0
84,Joseph D. McKenna,17,0,2,1,2,28,3,46,1,13,1,1,1,1,4,2,0
85,Joseph F. Wagner,36,11,47,2,82,15,59,113,9,3,123,1,80,2,229,128,2
86,Joseph W. McGonagle,53,56,2,4,4,59,95,21,48,2,40,2,23,139,89,6,0
87,Josh Cutler,181,3,87,8,79,95,74,3,74,3,42,10,31,52,25,1,0
88,Kate Hogan,43,0,82,5,43,15,86,0,54,5,90,74,45,8,105,77,2
89,Kathleen R. LaNatra,0,0,0,0,0,0,0,0,0,0,0,0,100,133,59,0,0
90,Kay S. Khan,32,0,2,1,2,0,18,1,0,1,2,0,0,5,2,2,0
91,Keiko Orrall,22,0,1,1,66,3,0,78,46,0,4,1,149,183,119,132,2
92,Kenneth I. Gordon,6,13,71,3,114,46,72,6,19,0,64,1,3,3,9,51,0
93,Kevin G. Honan,2,5,182,0,7,25,172,5,1,18,152,1,6,10,190,4,2
94,Kimberly Ferguson,0,2,11,0,2,2,1,57,2,0,0,1,58,1,1,7,0
95,Leonard Mirra,1,0,0,1,0,0,2,17,0,0,0,0,18,8,7,37,0
96,Linda Dean Campbell,11,102,2,2,131,17,72,6,0,16,0,2,9,2,5,87,0
97,Lindsay N. Sabadosa,0,0,0,0,0,0,0,0,0,0,0,0,38,155,155,22,0
98,Lori Ehrlich,48,23,1,3,0,3,0,1,2,0,64,1,0,3,26,133,0
99,Louis L. Kafka,48,0,76,4,37,0,66,0,40,0,56,8,39,5,62,1,0
100,Marc Lombardo,15,8,49,0,19,102,66,14,42,13,54,2,44,38,41,21,0
101,Marcos A. Devers,2,2,17,1,1,41,2,0,1,1,0,0,2,25,26,17,0
102,Maria D. Robinson,0,0,0,0,0,0,0,0,0,0,0,0,29,122,151,0,0
103,Marjorie C. Decker,25,37,66,1,18,7,67,0,132,4,0,2,10,55,125,21,0
104,Mark James Cusack,87,0,119,1,60,8,98,20,52,44,128,0,53,16,82,23,2
105,Mary S. Keefe,32,18,77,5,28,5,98,1,4,4,65,8,0,73,4,21,0
106,Mathew J. Muratore,0,0,0,0,0,0,0,0,90,0,27,1,123,32,63,5,0
107,Michael J. Finn,96,63,88,43,10,2,62,2,92,3,7,35,74,6,0,17,0
108,Michael J. Moran,86,70,90,106,4,81,213,10,96,102,27,154,22,115,91,165,2
109,Michael J. Soter,0,0,0,0,0,0,0,0,0,0,0,0,66,45,76,59,0
110,Michael L. Connolly,63,41,0,0,48,170,56,27,288,54,25,10,116,9,109,34,2
111,Michael S. Day,114,3,3,0,181,249,222,9,120,5,5,7,256,74,134,29,2
112,Michelle Ciccolo,0,0,0,0,0,0,0,0,162,0,0,0,52,248,96,34,0
113,Michelle Marie DuBois,4,0,1,2,44,2,2,30,29,2,6,2,89,23,0,3,0
114,Mindy Domb,0,0,0,0,0,0,0,0,0,0,0,0,7,79,71,12,0
115,Natalie M. Blais,0,0,0,0,0,0,0,0,0,0,0,0,16,160,117,52,0
116,Natalie Marie Higgins,0,0,0,0,119,117,99,19,7,45,2,1,69,67,63,25,0
117,Nick Boldyga,32,5,37,1,31,12,15,3,38,2,2,2,21,41,26,3,0
118,Nika Carlene Elugardo,0,0,0,0,0,0,0,0,46,106,0,0,98,462,200,126,2
119,Norman J. Orrall,0,0,0,0,0,0,0,0,0,0,0,0,31,62,65,28,0
120,Patricia A. Haddad,111,87,2,3,6,64,57,65,69,49,48,102,85,36,27,5,0
121,Patrick J. Kearney,0,0,0,0,0,0,0,0,0,0,0,0,181,202,156,9,0
122,Paul A. Schmid III,43,13,174,2,36,27,152,5,63,18,115,6,8,11,153,3,2
123,Paul Brodeur,45,4,65,34,68,1,9,73,66,6,82,3,76,1,80,18,0
124,Paul F. Tucker,98,0,1,1,6,17,141,2,6,5,175,1,4,4,165,6,2
125,Paul Heroux,32,25,26,5,40,22,12,15,78,59,47,7,44,9,9,83,0
126,Paul J. Donato,127,35,122,90,90,63,105,143,135,33,240,6,103,62,134,102,2
127,Paul K. Frost,72,10,10,0,45,2,8,65,54,2,14,1,42,6,15,1,0
128,Paul Mark,93,3,90,5,103,8,58,3,76,4,94,71,102,13,55,5,2
129,Paul McMurtry,96,32,61,5,65,0,95,8,93,3,165,8,124,151,149,6,2
130,Pete Capano,2,27,0,1,0,0,0,0,3,3,31,0,10,80,90,45,0
131,Peter J. Durant,14,14,1,0,2,3,0,13,0,0,0,2,3,0,2,1,0
